Locked,Name,Version,Created By,Created On,Status,Published
N,dq_stg_invoice_details_PayDtls_financial_institution_branch_code,1631702463,aroy,Wed Sep 15 06:41:03 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_mode_of_payment,1631702386,aroy,Wed Sep 15 06:39:46 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_payee_name,1631702350,aroy,Wed Sep 15 06:39:10 EDT 2021,Y,N
N,dq_stg_invoice_details_PayDtls_payee_financial_account_number,1631702337,aroy,Wed Sep 15 06:38:57 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_ValDtls_round_off_amount,1631701374,aroy,Wed Sep 15 06:22:54 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_AttribDtls_attribute_name,1631700199,aroy,Wed Sep 15 06:03:19 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_BchDtls_warranty_date,1631700080,aroy,Wed Sep 15 06:01:20 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_BchDtls_batch_expiry_date,1631700034,aroy,Wed Sep 15 06:00:34 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_BchDtls_batch_name,1631699974,aroy,Wed Sep 15 05:59:34 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_unique_serial_number,1631699906,aroy,Wed Sep 15 05:58:26 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_origin_country_code,1631699725,aroy,Wed Sep 15 05:55:25 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_purchase_order_line_reference,1631699686,aroy,Wed Sep 15 05:54:46 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_other_charges,1631699605,aroy,Wed Sep 15 05:53:25 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_state_cess_rate,1631699561,aroy,Wed Sep 15 05:52:41 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_state_cess_non_ad_valorem,1631699297,aroy,Wed Sep 15 05:48:17 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_state_cess_ad_valorem,1631699130,aroy,Wed Sep 15 05:45:30 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_cess_non_ad_valorem,1631699100,aroy,Wed Sep 15 05:45:00 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_cess_amt_ad_valorem,1631699036,aroy,Wed Sep 15 05:43:56 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_item_cess_rate,1631698996,aroy,Wed Sep 15 05:43:16 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_sgst_amt,1631698910,aroy,Wed Sep 15 05:41:50 EDT 2021,Y,N
N,dq_stg_invoice_details_irn,1631693097,aroy,Wed Sep 15 04:04:57 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_cgst_amt,1631636344,aroy,Tue Sep 14 12:19:04 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_igst_amt,1631636249,aroy,Tue Sep 14 12:17:29 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_item_gst_rate,1631636201,aroy,Tue Sep 14 12:16:41 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_taxable_value,1631635818,aroy,Tue Sep 14 12:10:18 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_pre_tax_value,1631635745,aroy,Tue Sep 14 12:09:05 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_discount_amount,1631635681,aroy,Tue Sep 14 12:08:01 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_gross_amount,1631635614,aroy,Tue Sep 14 12:06:54 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_rate,1631635570,aroy,Tue Sep 14 12:06:10 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_uom,1631635520,aroy,Tue Sep 14 12:05:20 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_free_qty,1631635405,aroy,Tue Sep 14 12:03:25 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_barcode,1631624464,aroy,Tue Sep 14 09:01:04 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_is_service,1631624335,aroy,Tue Sep 14 08:58:55 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_item_description,1631624282,aroy,Tue Sep 14 08:58:02 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_sl_no,1631624235,aroy,Tue Sep 14 08:57:15 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipping_to_state_code,1631624139,aroy,Tue Sep 14 08:55:39 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_pincode,1631624100,aroy,Tue Sep 14 08:55:00 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_place,1631624047,aroy,Tue Sep 14 08:54:07 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_address2,1631624009,aroy,Tue Sep 14 08:53:29 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_address1,1631623979,aroy,Tue Sep 14 08:52:59 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_legal_name,1631623945,aroy,Tue Sep 14 08:52:25 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_trade_name,1631623931,aroy,Tue Sep 14 08:52:11 EDT 2021,Y,N
N,dq_stg_invoice_details_ShipDtls_shipto_gstin,1631623346,aroy,Tue Sep 14 08:42:26 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_state_code,1631622585,aroy,Tue Sep 14 08:29:45 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_pincode,1631622495,aroy,Tue Sep 14 08:28:15 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_place,1631622458,aroy,Tue Sep 14 08:27:38 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_address2,1631622433,aroy,Tue Sep 14 08:27:13 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_address1,1631622410,aroy,Tue Sep 14 08:26:50 EDT 2021,Y,N
N,dq_stg_invoice_details_DispDtls_dispatchfrom_name,1631622372,aroy,Tue Sep 14 08:26:12 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_email_id,1631622030,aroy,Tue Sep 14 08:20:30 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_phone,1631621995,aroy,Tue Sep 14 08:19:55 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_state,1631621952,aroy,Tue Sep 14 08:19:12 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_pincode,1631621882,aroy,Tue Sep 14 08:18:02 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_place,1631621837,aroy,Tue Sep 14 08:17:17 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_address2,1631621816,aroy,Tue Sep 14 08:16:56 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_address1,1631621784,aroy,Tue Sep 14 08:16:24 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_pos,1631621751,aroy,Tue Sep 14 08:15:51 EDT 2021,Y,N
